Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
PluginName,Plugin Name,OBJモデル,OBJ Model,OBJ模型,OBJ模型,OBJ 모델,Modelo OBJ,نموذج OBJ,Model OBJ,
CoordinateSystem,Setting Label,座標系,Coordinate System,坐标系,座標系,좌표계,Sistema de coordenadas,نظام الإحداثيات,Sistem Koordinat,
CoordinateSystem_Desc,Setting Description,モデル読み込み時の座標軸の向きを設定します。,Sets the orientation of the coordinate axes when loading the model.,设置加载模型时的坐标轴方向。,設定載入模型時的座標軸方向。,모델 로드 시 좌표축의 방향을 설정합니다.,Establece la orientación de los ejes de coordenadas al cargar el modelo.,يحدد اتجاه محاور الإحداثيات عند تحميل النموذج.,Mengatur orientasi sumbu koordinat saat memuat model.,
CoordinateSystem_RightHandedYUp,Enum Value,右手系 Y-Up (標準),Right-Handed Y-Up (Default),右手系 Y-Up (标准),右手系 Y-Up (預設),오른손 좌표계 Y-Up (표준),Mano derecha Y-Up (Estándar),يد يمنى Y-Up (افتراضي),Tangan Kanan Y-Up (Bawaan),
CoordinateSystem_RightHandedZUp,Enum Value,右手系 Z-Up,Right-Handed Z-Up,右手系 Z-Up,右手系 Z-Up,오른손 좌표계 Z-Up,Mano derecha Z-Up,يد يمنى Z-Up,Tangan Kanan Z-Up,
CoordinateSystem_LeftHandedYUp,Enum Value,左手系 Y-Up,Left-Handed Y-Up,左手系 Y-Up,左手系 Y-Up,왼손 좌표계 Y-Up,Mano izquierda Y-Up,يد يسرى Y-Up,Tangan Kiri Y-Up,
CoordinateSystem_LeftHandedZUp,Enum Value,左手系 Z-Up,Left-Handed Z-Up,左手系 Z-Up,左手系 Z-Up,왼손 좌표계 Z-Up,Mano izquierda Z-Up,يد يسرى Z-Up,Tangan Kiri Z-Up,
CullMode,Setting Label,カリング,Culling,剔除,剔除,컬링,Recorte,إعدام,Mode Culling,
CullMode_Desc,Setting Description,描画時のカリングモードを設定します。,Sets the culling mode for rendering.,设置渲染时的剔除模式。,設定算繪時的剔除模式。,렌더링 시 컬링 모드를 설정합니다.,Establece el modo de recorte para el renderizado.,يحدد وضع الإعدام للتصيير.,Mengatur mode culling saat merender.,
CullMode_None,Enum Value,なし,None,无,無,없음,Ninguno,لا شيء,Tidak ada,
CullMode_Front,Enum Value,表面,Front,正面,正面,앞면,Frente,أمام,Depan,
CullMode_Back,Enum Value,裏面,Back,背面,背面,뒷면,Dorso,خلف,Belakang,
Group_Global,Group Title,全体設定,Global Settings,全局设置,全域設定,전체 설정,Configuración global,الإعدادات العامة,Pengaturan Global,
Group_Lighting,Group Title,ライティング,Lighting,光照,光照,조명,Iluminación,إضاءة,Pencahayaan,
AmbientColor,Setting Label,アンビエント色,Ambient Color,环境光颜色,環境光顏色,앰비언트 색상,Color ambiental,لون المحيط,Warna Ambient,
AmbientColor_Desc,Setting Description,環境光の色を設定します。,Sets the color of the ambient light.,设置环境光的颜色。,設定環境光的顏色。,환경광의 색상을 설정합니다.,Establece el color de la luz ambiental.,يحدد لون الضوء المحيط.,Mengatur warna cahaya ambient.,
DiffuseIntensity,Setting Label,拡散反射強度,Diffuse Intensity,漫反射强度,漫反射強度,확산 반사 강도,Intensidad difusa,كثافة الانتشار,Intensitas Difus,
DiffuseIntensity_Desc,Setting Description,光の拡散反射の強さを設定します。,Sets the intensity of diffuse reflection.,设置光的漫反射强度。,設定光的漫反射強度。,빛의 확산 반사 강도를 설정합니다.,Establece la intensidad de la reflexión difusa.,يحدد كثافة الانعكاس المنتشر للضوء.,Mengatur intensitas pantulan difus cahaya.,
SpecularIntensity,Setting Label,鏡面反射強度,Specular Intensity,镜面反射强度,鏡面反射強度,정반사 강도,Intensidad especular,كثافة الانعكاس,Intensitas Specular,
SpecularIntensity_Desc,Setting Description,光の鏡面反射(ハイライト)の強さを設定します。,Sets the intensity of specular reflection (highlights).,设置光的镜面反射（高光）强度。,設定光的鏡面反射（高光）強度。,빛의 정반사(하이라이트) 강도를 설정합니다.,Establece la intensidad de la reflexión especular (resaltados).,يحدد كثافة الانعكاس المرآوي (الإضاءة الساطعة).,Mengatur intensitas pantulan specular (highlight).,
Shininess,Setting Label,光沢度,Shininess,光泽度,光澤度,광택도,Brillo,لمعان,Shininess,
Shininess_Desc,Setting Description,ハイライトの鋭さを設定します。値が大きいほど鋭くなります。,Sets the sharpness of highlights. Higher values mean sharper highlights.,设置高光的锐度。值越大越銳利。,設定高光的銳利度。値越大越銳利。,하이라이트의 선명도를 설정합니다. 값이 클수록 선명해집니다.,Establece la nitidez de los resaltados. Los valores más altos significan resaltados más nítidos.,يحدد حدة الإضاءة الساطعة. القيم الأعلى تعني إضاءة أكثر حدة.,Mengatur ketajaman highlight. Nilai lebih tinggi membuat lebih tajam.,
Group_Environment,Group Title,環境,Environment,环境,環境,환경,Entorno,بيئة,Lingkungan,
LightColor,Setting Label,ライト色,Light Color,光源颜色,光源顏色,조명 색상,Color de la luz,لون الضوء,Warna Cahaya,
LightColor_Desc,Setting Description,光源の色を設定します。,Sets the color of the light source.,设置光源的颜色。,設定光源的顏色。,광원의 색상을 설정합니다.,Establece el color de la fuente de luz.,يحدد لون مصدر الضوء.,Mengatur warna sumber cahaya.,
ResetDefaults,Button Label,初期値に戻す,Reset to Defaults,恢复默认值,恢復預設值,기본값으로 복원,Restablecer valores predeterminados,إعادة تعيين الافتراضيات,Kembalikan ke Default,
OK,Button Label,OK,OK,确定,確定,확인,Aceptar,موافق,OK,
Cancel,Button Label,キャンセル,Cancel,取消,取消,취소,Cancelar,إلغاء,Batal,
Group_Model,Group Title,モデル,Model,模型,模型,모델,Modelo,نموذج,Model,
Setting,Setting Label,設定,Settings,设置,設定,설정,Configuración,إعدادات,Pengaturan,
File,Setting Label,ファイル,File,文件,檔案,파일,Archivo,ملف,File,
File_Desc,Setting Description,読み込む3Dモデルファイルを指定します。(obj, pmx, stl, glb, ply, 3mf),Specifies the 3D model file to load. (obj, pmx, stl, glb, ply, 3mf),指定要加载的3D模型文件。(obj, pmx, stl, glb, ply, 3mf),指定要載入的3D模型檔案。(obj, pmx, stl, glb, ply, 3mf),로드할 3D 모델 파일을 지정합니다. (obj, pmx, stl, glb, ply, 3mf),Especifica el archivo de modelo 3D a cargar. (obj, pmx, stl, glb, ply, 3mf),يحدد ملف النموذج ثلاثي الأبعاد للتحميل. (obj, pmx, stl, glb, ply, 3mf),Menentukan file model 3D yang akan dimuat. (obj, pmx, stl, glb, ply, 3mf),
BaseColor,Setting Label,基本色,Base Color,基本色,基本色,기본 색상,Color base,اللون الأساسي,Warna Dasar,
Projection,Setting Label,投影方法,Projection,投影方法,投影方法,투영 방법,Proyección,إسقاط,Proyeksi,
Group_Display,Group Title,表示,Display,显示,顯示,표시,Visualización,عرض,Tampilan,
ScreenWidth,Setting Label,画面幅,Screen Width,屏幕宽度,螢幕寬度,화면 너비,Ancho de pantalla,عرض الشاشة,Lebar Layar,
ScreenHeight,Setting Label,画面高さ,Screen Height,屏幕高度,螢幕高度,화면 높이,Altura de pantalla,ارتفاع الشاشة,Tinggi Layar,
Group_Placement,Group Title,配置,Placement,配置,配置,배치,Colocación,توضيع,Penempatan,
X,Setting Label,位置 X,Position X,位置 X,位置 X,위치 X,Posición X,الموضع س,Posisi X,
Y,Setting Label,位置 Y,Position Y,位置 Y,位置 Y,위치 Y,Posición Y,الموضع ص,Posisi Y,
Z,Setting Label,位置 Z,Position Z,位置 Z,位置 Z,위치 Z,Posición Z,الموضع ع,Posisi Z,
Fov,Setting Label,視野角,Field of View,视野角,視野角,시야각,Campo de visión,مجال الرؤية,Sudut Pandang,
Scale,Setting Label,スケール,Scale,缩放,縮放,배율,Escala,مقياس,Skala,
RotationX,Setting Label,回転 X,Rotation X,旋转 X,旋轉 X,회전 X,Rotación X,تدوير س,Rotasi X,
RotationY,Setting Label,回転 Y,Rotation Y,旋转 Y,旋轉 Y,회전 Y,Rotación Y,تدوير ص,Rotasi Y,
RotationZ,Setting Label,回転 Z,Rotation Z,旋轉 Z,回転 Z,회전 Z,Rotación Z,تدوير ع,Rotasi Z,
ResetTrigger,Setting Label,リセット,Reset,重置,重置,재설정,Restablecer,إعادة تعيين,Reset,
Group_Light,Group Title,ライト,Light,灯光,燈光,조명,Luz,ضوء,Lampu,
IsLightEnabled,Setting Label,有効,Enabled,启用,啟用,활성화,Habilitado,ممكن,Diaktifkan,
LightX,Setting Label,位置 X,Position X,位置 X,位置 X,위치 X,Posición X,الموضع س,Posisi X,
LightY,Setting Label,位置 Y,Position Y,位置 Y,位置 Y,위치 Y,Posición Y,الموضع ص,Posisi Y,
LightZ,Setting Label,位置 Z,Position Z,位置 Z,位置 Z,위치 Z,Posición Z,الموضع ع,Posisi Z,
Projection_Parallel,Enum Value,平行投影,Parallel Projection,平行投影,平行投影,평행 투영,Proyección paralela,إسقاط متوازي,Proyeksi Paralel,
Projection_Perspective,Enum Value,透視投影,Perspective Projection,透视投影,透視投影,원근 투영,Proyección en perspectiva,إسقاط منظوري,Proyeksi Perspektif,
ResetTransform,Button Content,変形をリセット,Reset Transform,重置变形,重置變形,변형 재설정,Restablecer transformación,إعادة تعيين التحويل,Reset Transform,
SettingsTitle,Window Title,設定,Settings,设置,設定,설정,Configuración,إعدادات,Pengaturan,
On,Boolean Value,On,On,开,開,켜짐,Encendido,تشغيل,Nyala,
Off,Boolean Value,Off,Off,关,關,꺼짐,Apagado,إيقاف,Mati,
UpdateAvailableTitle,Message Box Title,アップデート利用可能,Update Available,更新可用,更新可用,업데이트 가능,Actualización disponible,تحديث متاح,Pembaruan Tersedia,
UpdateAvailableMessage,Message Box Text,新しいバージョン ({0}) が利用可能です。ダウンロードページを開きますか？,A new version ({0}) is available. Do you want to open the download page?,新版本 ({0}) 可用。是否打开下载页面？,新版本 ({0}) 可用。是否打開下載頁面？,새 버전 ({0})을 사용할 수 있습니다. 다운로드 페이지를 여시겠습니까?,Hay una nueva versión ({0}) disponible. ¿Desea abrir la página de descarga?,يتوفر إصدار جديد ({0}). هل تريد فتح صفحة التنزيل؟,Versi baru ({0}) tersedia. Buka halaman unduhan?,
DracoNotSupported,DracoNotSupported,Draco圧縮されたファイルには対応していません,Draco compression is not supported,Draco compression is not supported,Draco compression is not supported,Draco compression is not supported,Draco compression is not supported,Draco compression is not supported,Kompresi Draco tidak didukung,
WorldId,Setting Label,ワールドID,World ID,世界ID,世界ID,월드 ID,ID de mundo,معرف العالم,ID Dunia,
CameraSettings,Window Title,カメラ設定,Camera Settings,相机设置,相機設定,카메라 설정,Configuración de la cámara,إعدادات الكاميرا,Pengaturan Kamera,
OpenCameraWindow,Button Label,カメラ位置設定,Camera Position,相机位置,相機位置,카메라 위치,Posición de la cámara,موضع الكاميرا,Posisi Kamera,
Grid,CheckBox Label,グリッド,Grid,网格,網格,그리드,Cuadrícula,شبكة,Grid,
ResetCamera,Button Label,カメラリセット,Reset Camera,重置相机,重置相機,카메라 재설정,Restablecer cámara,إعادة تعيين الكاميرا,Reset Kamera,
CameraPos,Group Title,カメラ位置,Camera Position,相机位置,相機位置,카메라 위치,Posición de la cámara,موضع الكاميرا,Posisi Kamera,
CameraTarget,Group Title,注視点,Target,目标,目標,목표,Objetivo,الهدف,Target,
ViewRight,Label,右 (Right),Right,右,右,우,Derecha,حق,Kanan,
ViewLeft,Label,左 (Left),Left,左,左,좌,Izquierda,اليسار,Kiri,
ViewTop,Label,上 (Top),Top,上,上,상,Arriba,أعلى,Atas,
ViewBottom,Label,下 (Bottom),Bottom,下,下,하,Abajo,أسفل,Bawah,
ViewFront,Label,前 (Front),Front,前,前,전,Frente,أمامي,Depan,
ViewBack,Label,後 (Back),Back,后,後,후,Atrás,خلف,Belakang,
CornerFRT,Button Label,前右上,Front Right Top,前右上,前右上,전우상,Frente Derecha Arriba,الجبهة اليمنى العليا,Depan Kanan Atas,
